GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
MTCP Info Init,Connect MTCP,connect MTCP,mtcp_connect,10000,20000,,,,,,
MTCP Info Init,wait socket Steady,wait socket Steady,delay,10000,1000,,ms,,,,
MTCP Info Init,get fixture integrate factor,get fixture integrate factor,get_integrate_factor,5000,,,,,,,
MTCP Info Init,TSCR#DUT_SN#DUT_SN,Get UUT SN,getinfo,1000,uutsn,,,,,,
MTCP Info Init,TSCR#SOCKET_ID#SOCKET_ID,Get SOCKET_ID,getinfo,1000,socketid,,,,,,
MTCP Info Init,TSCR#SOCKET_SN#SOCKET_SN,Get SOCKET_SN,getinfo,1000,socketsn,,,,,,
MTCP Info Init,TSCR#SOCKET_DCR#get fixture dcr,get fixture dcr,get_dcr,5000,,,mohm,,,,
MTCP Info Init,TSCR#TEST_MODE#TEST_MODE,Get TEST_MODE,getinfo,1000,mode,,,,,,
MTCP Info Init,TSCR#STATION_SW_VER#STATION_SW_VER,Get STATION_SW_VER,getinfo,1000,swversion,,,,,,
MTCP Info Init,TSCR#STATION_ID#STATION_ID,Get STATION_ID,getinfo,1000,stationid,,,,,,
MTCP Info Init,TSCR#SEND#send,Send STATION_ID,uploadmtcp,45000,TSCR,,,,,,
Calypso & Yogi Communication Test,reset SMU,reset smu,smu_power_off,1000,,,,,,,
Calypso & Yogi Communication Test,reset ARM board,All I/O set to 0 Bit26=1,arm_reset,1000,,,,,,,
Calypso & Yogi Communication Test,Power On VDD_D_3V,VDD_D_3V(power up Doppler),arm_relay,5000,SUPPLY_VDD_D_3V,,,,,,
Calypso & Yogi Communication Test,Power On VDD_Y_3V,VDD_Y_3V(power up Yogi),arm_relay,5000,SUPPLY_VDD_Y_3V,,,,,,
Calypso & Yogi Communication Test,time delay 100ms_1,time delay 100ms,delay,10000,100,,ms,,,,
Calypso & Yogi Communication Test,Init Yogi I2C,Prase Device ID,arm_i2c_read,10000,CH1*0x33*0x00*2,,,,,,
