GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
Start TEC before test,Turn Off TEC,Turn Off TEC,tec_stop,1000,,,,,,,
Start TEC before test,Set TEC to 55 C,Set TEC to 55 C,tec_set_temp,20000,55,,,,,,
Start TEC before test,wait socket Steady,wait socket Steady,delay,10000,1000,,ms,,,,
Start TEC before test,Turn On TEC,Turn On TEC,tec_start,5000,,,,0,100,,
MTCP Info Init,Connect MTCP,connect MTCP,mtcp_connect,10000,20000,,,,,,
MTCP Info Init,TSCR#DUT_SN#DUT_SN,Get UUT SN,getinfo,1000,uutsn,,,,,,
MTCP Info Init,TSCR#SOCKET_ID#SOCKET_ID,Get SOCKET_ID,getinfo,1000,socketid,,,,,,
MTCP Info Init,TSCR#SOCKET_SN#SOCKET_SN,Get SOCKET_SN,getinfo,1000,socketsn,,,,,,
MTCP Info Init,TSCR#SOCKET_DCR#get fixture dcr,get fixture dcr,get_dcr,5000,,,mohm,,,,
MTCP Info Init,TSCR#TEST_MODE#TEST_MODE,Get TEST_MODE,getinfo,1000,mode,,,,,,
MTCP Info Init,TSCR#STATION_SW_VER#STATION_SW_VER,Get STATION_SW_VER,getinfo,1000,swversion,,,,,,
MTCP Info Init,TSCR#STATION_ID#STATION_ID,Get STATION_ID,getinfo,1000,stationid,,,,,,
MTCP Info Init,TSCR#SEND#End Tscr,End Tscr,uploadmtcp,45000,TSCR,,,,,,
Yogi Fault Condition Test,reset SMU,reset smu,smu_power_off,5000,,,,,,,
Yogi Fault Condition Test,reset ARM board,All I/O set to 0 Bit26=1,arm_reset,5000,,,,,,,
Yogi Fault Condition Test,Power On VDD_D_3V,VDD_D_3V(power up Doppler),arm_relay,5000,SUPPLY_VDD_D_3V,,,,,,
Yogi Fault Condition Test,Power On VDD_Y_3V,VDD_Y_3V(power up Yogi),arm_relay,5000,SUPPLY_VDD_Y_3V,,,,,,
Yogi Fault Condition Test,delay_100ms_1,delay,delay,,100,,ms,,,,
Yogi Fault Condition Test,Init Yogi I2C,Yogi I2C Init,arm_i2c_read,5000,CH1*0x33*0x00*2,,,,,,
Yogi Fault Condition Test,delay_100ms_9,delay,delay,,100,,ms,,,,
Yogi Fault Condition Test,Read Device ID,Read Device ID,arm_i2c_read,5000,CH1*0x33*0x00*2,,,,,,
Yogi Fault Condition Test,Request Settle Time and Drive Current for Steady State,send Valencia Calibrated Current Request Packet to Apple Test SW,mtcp_send_vdcr,15000,VDCR,,,,,,
Yogi Fault Condition Test,get Settle Time for Steady State,get Settle time,mtcp_vdcr_data,15000,TIME,,s,,,,
Yogi Fault Condition Test,get Drive Current for Steady State,get Calibrated Current,mtcp_vdcr_data,10000,CURRENT,,A,0,1,,
Yogi Fault Condition Test,Request Ipulsemax,Request Ipulsemax,requestipulsemax,15000,YGTR,,,,,,
Yogi Fault Condition Test,Request ISELpulsemax,Request I_sel_pulsemax,requestselipulsemax,15000,YGTR,C2,,,,,
Yogi Fault Condition Test,get I_PULSEMAX_B1 value,GetIpulsemax,getipulsemax,5000,I_PULSEMAX_B1,,,,,,
Yogi Fault Condition Test,get I_PULSEMAX_B2 value,GetIpulsemax,getipulsemax,5000,I_PULSEMAX_B2,,,,,,
Yogi Fault Condition Test,get I_PULSEMAX_B3 value,GetIpulsemax,getipulsemax,5000,I_PULSEMAX_B3,,,,,,
Yogi Fault Condition Test,get I_CAL value,GetIpulsemax,getipulsemax,5000,I_CAL,,,,,,
Yogi Fault Condition Test,get SEL_I_PULSEMAX value,GetIpulsemax,getipulsemax,5000,SEL_I_PULSEMAX,,,,,,
Yogi Fault Condition Test,get SEL_I_SEVERE value,GetIpulsemax,getipulsemax,5000,SEL_I_SEVERE,,,,,,
Yogi Fault Condition Test,Set Yogi R37=0X80,Go to Standby Mode_NVM_LOOK_AHEAD,Set_Yogi_Data,5000,CH1*0x33*0x37*1,0x80,,,,,
Yogi Fault Condition Test,set nvm regi to testing,set nvm regi to testing,set_nvm_to_testing,5000,,,,,,,
Yogi Fault Condition Test,YGTS#Y_I_STANDBY#Measure Standby Mode Current,Read DUT_VDD_Y_CURRENT,arm_dmm,5000,DUT_VDD_Y_CURRENT,,uA,,,,
Yogi Fault Condition Test,Set Yogi R30=0X30_1,Go to Standby Mode_NVM_TEST_EN,Set_Yogi_Data,5000,CH1*0x33*0x30*1,0x80,,,,,
Yogi Fault Condition Test,Set Yogi R37=0X37,Go to Standby Mode_NVM_TEST_EN,Set_Yogi_Data,5000,CH1*0x33*0x37*1,0x80,,,,,
Yogi Fault Condition Test,Set Yogi R38=0X80,Go to Actice Mode,Set_Yogi_Data,5000,CH1*0x33*0x38*1,0x80,,,,,
