GROUP,TID,DESCRIPTION,FUNCTION,TIMEOUT,PARAM1,PARAM2,UNIT,LOW,HIGH,KEY,VAL
Start TEC before test,Turn Off TEC_1,Turn Off TEC before this test. DUT need to be tested as Cold Start,tec_stop,10000,,,,,,,
Start TEC before test,Set TEC to 55 C,Set TEC to 55 C,tec_set_temp,10000,55,,,,,,
Start TEC before test,wait socket Steady,wait socket Steady,delay,10000,1000,,ms,,,,
Start TEC before test,Turn On TEC,Turn On TEC,tec_start,5000,1,,ms,,,,
MTCP Info Init,Connect MTCP,connect MTCP,mtcp_connect,10000,20000,,,,,,
MTCP Info Init,TSCR#DUT_SN#DUT_SN,Get UUT SN,getinfo,5000,uutsn,,,,,,
MTCP Info Init,TSCR#SOCKET_ID#SOCKET_ID,Get SOCKET_ID,getinfo,5000,socketid,,,,,,
MTCP Info Init,TSCR#SOCKET_SN#SOCKET_SN,Get SOCKET_SN,getinfo,5000,socketsn,,,,,,
MTCP Info Init,TSCR#SOCKET_DCR#get fixture dcr,get fixture dcr,get_dcr,5000,,,mohm,,,,
MTCP Info Init,TSCR#TEST_MODE#TEST_MODE,Get TEST_MODE,getinfo,5000,mode,,,,,,
MTCP Info Init,TSCR#STATION_SW_VER#STATION_SW_VER,Get STATION_SW_VER,getinfo,5000,swversion,,,,,,
MTCP Info Init,TSCR#STATION_ID#STATION_ID,Get STATION_ID,getinfo,5000,stationid,,,,,,
MTCP Info Init,TSCR#SEND#SendTSCR,Skip,uploadmtcp,45000,TSCR,,,,,,
Valencia Emitter Count Check,Set Yogi R37=0X37_1,Go to Standby Mode_NVM_TEST_EN,Set_Yogi_Data,5000,CH1*0x33*0x37*1,0x80,,,,,
Valencia Emitter Count Check,Set Yogi R30=0X30_1_1,Go to Standby Mode_NVM_TEST_EN,Set_Yogi_Data,5000,CH1*0x33*0x30*1,0x80,,,,,
Valencia Emitter Count Check,Set Yogi R39=0X1F_1,Go to Standby Mode_NVM_TEST_EN,Set_Yogi_Data,5000,CH1*0x33*0x39*1,0x1f,,,,,
Valencia Emitter Count Check,Set Yogi R1F=0XFF_1,Go to Standby Mode_NVM_TEST_EN,Set_Yogi_Data,5000,CH1*0x33*0x1f*1,0xFF,,,,,
Valencia Emitter Count Check,Set Yogi R38=0X80_1,Go to Actice Mode,Set_Yogi_Data,5000,CH1*0x33*0x38*1,0x80,,,,,
Valencia Emitter Count Check,reset smu config infro2,reset smu config infro,smu_reset_config,5000,,,,,,,
Valencia Emitter Count Check,Drive Pulse Current,Drive Pulse Current,smu_output_current,50000,15,VCAL_CHECK_NO_READ,,,,,
Valencia Emitter Count Check,Waiting TEMP to 55 C,Waiting TEMP to 55 C,tec_set_temp,10000,55,,,54,56,,
Valencia Emitter Count Check,EMCT#NTC_STEADY_STATE#Wait DUT steady,Wait DUT steady,skip,15000,,,C,50,60,,
